year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
2008,2009,81,PRODUCTION DESIGN,Male,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,White,The Curious Case of Benjamin Button,TRUE
2008,2009,81,CINEMATOGRAPHY,Male,Anthony Dod Mantle,White,Slumdog Millionaire,TRUE
2008,2009,81,COSTUME DESIGN,Male,Michael O'Connor,White,The Duchess,TRUE
2008,2009,81,DIRECTING,Male,Danny Boyle,White,Slumdog Millionaire,TRUE
2008,2009,81,DOCUMENTARY (Feature),Male,James Marsh and Simon Chinn,White,Man on Wire,TRUE
2008,2009,81,DOCUMENTARY (Short Subject),Female,Megan Mylan,White,Smile Pinki,TRUE
2008,2009,81,FILM EDITING,Male,Chris Dickens,White,Slumdog Millionaire,TRUE
2008,2009,81,FOREIGN LANGUAGE FILM,Male,Japan,Asian,Departures,TRUE
2008,2009,81,MAKEUP,Male,Greg Cannom,White,The Curious Case of Benjamin Button,TRUE
2008,2009,81,MUSIC (Original Score),Male,A.R. Rahman,Asian,Slumdog Millionaire,TRUE
2008,2009,81,MUSIC (Original Song),Male,Music by A.R. Rahman; Lyric by Gulzar,Asian,Slumdog Millionaire,TRUE
2008,2009,81,BEST PICTURE,Male,"Christian Colson, Producer",White,Slumdog Millionaire,TRUE
2008,2009,81,SHORT FILM (Animated),Male,Kunio Kato,Asian,La Maison en Petits Cubes,TRUE
2008,2009,81,SHORT FILM (Live Action),Male,Jochen Alexander Freydank,White,Spielzeugland (Toyland),TRUE
2008,2009,81,SOUND EDITING,Male,Richard King,White,The Dark Knight,TRUE
2008,2009,81,SOUND MIXING,Male,"Ian Tapp, Richard Pryke and Resul Pookutty",Asian,Slumdog Millionaire,TRUE
2008,2009,81,VISUAL EFFECTS,Male,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",White,The Curious Case of Benjamin Button,TRUE
2008,2009,81,WRITING (Adapted Screenplay),Male,Screenplay by Simon Beaufoy,White,Slumdog Millionaire,TRUE
2008,2009,81,WRITING (Original Screenplay),Male,Written by Dustin Lance Black,White,Milk,TRUE
2008,2009,81,JEAN HERSHOLT HUMANITARIAN AWARD,Male,Jerry Lewis,White,,TRUE
2009,2010,82,Best Actor,Male,George Clooney,White,Up in the Air,FALSE
2009,2010,82,Best Actor,Male,Colin Firth,White,A Single Man,FALSE
2009,2010,82,Best Actor,Male,Morgan Freeman,Black,Invictus,FALSE
2009,2010,82,Best Actor,Male,Jeremy Renner,White,The Hurt Locker,FALSE
2009,2010,82,Best Actor in supporting role,Male,Matt Damon,White,Invictus,FALSE
2009,2010,82,Best Actor in supporting role,Male,Woody Harrelson,White,The Messenger,FALSE
2009,2010,82,Best Actor in supporting role,Male,Christopher Plummer,White,The Last Station,FALSE
2009,2010,82,Best Actor in supporting role,Male,Stanley Tucci,White,The Lovely Bones,FALSE
2009,2010,82,Best Actress,Female,Helen Mirren,White,The Last Station,FALSE
2009,2010,82,Best Actress,Female,Carey Mulligan,White,An Education,FALSE
2009,2010,82,Best Actress,Female,Gabourey Sidibe,Black,Precious: Based on the Novel 'Push' by Sapphire,FALSE
2009,2010,82,Best Actress,Female,Meryl Streep,White,Julie & Julia,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Pen?©lope Cruz,White,Nine,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Vera Farmiga,White,Up in the Air,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Maggie Gyllenhaal,White,Crazy Heart,FALSE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Anna Kendrick,White,Up in the Air,FALSE
2009,2010,82,ANIMATED FEATURE FILM,Male,Henry Selick,White,Coraline,FALSE
2009,2010,82,ANIMATED FEATURE FILM,Male,Wes Anderson,White,Fantastic Mr. Fox,FALSE
2009,2010,82,ANIMATED FEATURE FILM,Male,John Musker and Ron Clements,White,The Princess and the Frog,FALSE
2009,2010,82,ANIMATED FEATURE FILM,Male,Tomm Moore,White,The Secret of Kells,FALSE
2009,2010,82,PRODUCTION DESIGN,Female,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,White,The Imaginarium of Doctor Parnassus,FALSE
2009,2010,82,PRODUCTION DESIGN,Male,Production Design: John Myhre; Set Decoration: Gordon Sim,White,Nine,FALSE
2009,2010,82,PRODUCTION DESIGN,Female,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,White,Sherlock Holmes,FALSE
